WKT,id,nombre,direccion,cod_ine_mun,anyo_const,tipo_edifi,tipo_edifi_val,uso_edifi,uso_edifi_val,proteccio,e1_entrada_ppal,e1_entrada_ppal_val,e1_coste,e2_itinerarios_accesibles,e2_itinerarios_accesibles_val,e2_coste,e3_zonas_atencion_publico,e3_zonas_atencion_publico_val,e3_coste,e4_servicios_higienicos,e4_servicios_higienicos_val,e4_coste,e5_elementos_accesibles,e5_elementos_accesibles_val,e5_coste,accesibilidat_total,accesibilidat_total_val,total_coste,nom_mun,nom_mun_cas,nom_mun_cas_a,nom_mun_val,nom_mun_val_a,noms_mun,comarca,provincia
"POINT (740625.401025659 4311533.76839069)","1",AYUNTAMIENTO HOGAR JUBILADOS,"PL. LA FONT, 1","46002","1975",Equipamiento,Equipament,"Administrativo, Institucional, Social","Administratiu, Institucional, Social",No,Accesibilidad baja,Accessibilitat baixa,"1474.65",Accesibilidad baja,Accessibilitat baixa,"1258.89",Accesibilidad baja,Accessibilitat baixa,"976.18",Accesibilidad baja,Accessibilitat baixa,"7261.97",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"10971.69",Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia
"POINT (740539.559400995 4311633.69983461)","2",CENTRO SALUD,"CALLE CERVANTES, 25-BAJO","46002","1993",Vivienda+equipamiento,Habitatge+equipament,"Sanitario, Otro","Sanitari, Un altre",No,Accesibilidad baja,Accessibilitat baixa,"861.71",Accesibilidad baja,Accessibilitat baixa,"1477.65",Accesibilidad baja,Accessibilitat baixa,"976.18",Accesibilidad media,Accessibilitat mitjana,"3523.94",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"2418.50",Accesibilidad baja,Accessibilitat baixa,"9257.98",Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia
"POINT (740550.757160602 4311553.82648528)","3",GUARDERIA INFANTIL CENTRO MUJERES,"C. STMO. CRISTO, 6","46002","1930",Equipamiento,Equipament,"Educativo, Asistencial, Social, Otro","Educatiu, Assistencial, Social, Un altre",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"1576.03",Accesibilidad baja,Accessibilitat baixa,"614.90",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"946.18",Accesibilidad baja,Accessibilitat baixa,"29047.88",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"2418.50",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"34603.49",Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia
"POINT (740648.474928907 4311858.99500504)","4",C.P. LA MURTERA,"C. GRAGORI MAIANS, 2","46002","1986",Equipamiento,Equipament,Deportivo,Esportiu,No,Accesibilidad baja,Accessibilitat baixa,"12466.02",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"22305.81",Accesibilidad baja,Accessibilitat baixa,"976.18",Accesibilidad baja,Accessibilitat baixa,"30809.85",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"2516.52",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"69074.38",Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia
"POINT (740633.960574514 4311537.69539482)","5",BIBLIOTECA,"C. JOANOT MARTORELL, 1","46002","1999",Equipamiento,Equipament,"Cultural, Recreativo","Cultural, Recreatiu",No,Accesibilidad baja,Accessibilitat baixa,"5473.64",Accesibilidad baja,Accessibilitat baixa,"1655.72",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"946.18",Accesibilidad baja,Accessibilitat baixa,"14523.94",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"22599.48",Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia
"POINT (740694.598640364 4311418.99873324)","6",CENTRO INFORMACIÓN,"C. GOYA, 2","46002","1968",Equipamiento,Equipament,"Educativo, Administrativo","Educatiu, Administratiu",No,Accesibilidad media,Accessibilitat mitjana,"179.24",Accesibilidad baja,Accessibilitat baixa,"4153.95",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"946.18",Accesibilidad baja,Accessibilitat baixa,"9023.94",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"14303.31",Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia
"POINT (740701.166203026 4311209.10827595)","7",MUSEO,"P MAJOR, 1","46002","1887",Equipamiento,Equipament,"Educativo, Cultural, Otro","Educatiu, Cultural, Un altre",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"1350.66",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"23526.02",Accesibilidad baja,Accessibilitat baixa,"976.18",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"14523.94",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"40376.80",Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia
"POINT (708861.273096955 4305847.43851648)","8",AJUNTAMENT,"PLAÇA PALAU, 4","46042","1930",Equipamiento,Equipament,Institucional,Institucional,BIC,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"3520.73",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"51236.85",Accesibilidad baja,Accessibilitat baixa,"946.18",Accesibilidad baja,Accessibilitat baixa,"9023.94",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"64727.70",Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia
"POINT (709167.365629118 4305823.03285148)","9",CONSULTORI MÉDIC,"C. CANTÓ DE L'HORT, 8","46042","1930",Equipamiento,Equipament,Sanitario,Sanitari,No,Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad media,Accessibilitat mitjana,"70.00",Accesibilidad baja,Accessibilitat baixa,"18047.88",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"18117.88",Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia
"POINT (709149.634619897 4305971.61656763)","10",ANTIC HOSPITAL BENEFICÉNCIA,"C. ESGLESIA, 25","46042","1930",Equipamiento,Equipament,Asistencial,Assistencial,No,Accesibilidad media,Accessibilitat mitjana,"30.00",Accesibilidad baja,Accessibilitat baixa,"4728.00",Accesibilidad baja,Accessibilitat baixa,"976.18",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"5734.18",Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia
"POINT (709087.08342396 4305972.12243902)","11",CENTRE DE DIA,C. ORIENT 30-B,"46042","1966",Equipamiento,Equipament,"Asistencial, Social","Assistencial, Social",No,Accesibilidad baja,Accessibilitat baixa,"5068.49",Accesibilidad baja,Accessibilitat baixa,"1500.00",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"946.18",Accesibilidad baja,Accessibilitat baixa,"7261.97",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"2418.50",Accesibilidad baja,Accessibilitat baixa,"17195.14",Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia
"POINT (709190.759472463 4305925.31006905)","12",ESCOLA INFANTIL,"C. BOCAIRENT, 55","46042","1980",Equipamiento,Equipament,"Educativo, Social","Educatiu, Social",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"514.41",Accesibilidad baja,Accessibilitat baixa,"3247.23",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"946.18",Accesibilidad baja,Accessibilitat baixa,"14523.94",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"19231.76",Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia
"POINT (709237.267352228 4305914.57533187)","13","CEIP ""SANT JOSEP DE CALASANÇ""","C. MESTRA MARIA ARABI, 5","46042","2012",Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,"2743.05",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"62353.65",Accesibilidad baja,Accessibilitat baixa,"1892.36",Accesibilidad baja,Accessibilitat baixa,"55905.61",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"2418.50",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"125313.17",Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia
"POINT (709111.93941436 4306061.21363422)","14",BIBLIOTECA I MUSEU NINO BRAVO,"C. SANTS PEDRA, 96","46042","1930",Equipamiento,Equipament,"Educativo, Cultural","Educatiu, Cultural",BRL,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"6596.91",Accesibilidad baja,Accessibilitat baixa,"1625.58",Accesibilidad baja,Accessibilitat baixa,"1952.36",Accesibilidad baja,Accessibilitat baixa,"14523.94",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"24698.79",Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia
"POINT (709073.298965849 4306049.90734807)","15",AUDITORI,"C. SANTS PEDRA, 94","46042","1930",Equipamiento,Equipament,"Cultural, Social, Recreativo","Cultural, Social, Recreatiu",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"514.41",Accesibilidad baja,Accessibilitat baixa,"6321.39",Accesibilidad media,Accessibilitat mitjana,"946.18",Accesibilidad baja,Accessibilitat baixa,"14523.94",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"3309.25",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"25615.17",Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia
"POINT (709200.564362379 4306064.56764878)","16",POLICÍA I MÚSICA,"C. ONTINYENT, 1","46042","1930",Equipamiento,Equipament,"Educativo, Administrativo, Institucional","Educatiu, Administratiu, Institucional",No,Accesibilidad media,Accessibilitat mitjana,"30.00",Accesibilidad baja,Accessibilitat baixa,"2076.51",Accesibilidad media,Accessibilitat mitjana,"30.00",Accesibilidad baja,Accessibilitat baixa,"14523.94",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"2418.50",Accesibilidad baja,Accessibilitat baixa,"19078.95",Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia
"POINT (718458.083134826 4370591.75207336)","17",CASA DE LA VILA,"MAJOR, 88","46005","2004",Equipamiento,Equipament,"Cultural, Recreativo","Cultural, Recreatiu",BIC,Accesibilidad media,Accessibilitat mitjana,"472.80",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"946.18",Accesibilidad baja,Accessibilitat baixa,"30809.85",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"661.85",Accesibilidad baja,Accessibilitat baixa,"32890.68",Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia
"POINT (719193.858544178 4370531.09333262)","18",CENTRE DE DIA,"ANDALUCIA, 12","46005","2006",Equipamiento,Equipament,"Social, Recreativo","Social, Recreatiu",No,Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"946.18",Accesibilidad baja,Accessibilitat baixa,"18047.88",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"2418.50",Accesibilidad baja,Accessibilitat baixa,"21412.56",Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia
"POINT (718728.132833888 4370842.43083671)","19",CENTRE SOCIAL BENÀGER,DR. FRANCESC TARREGA BARBERÀ,"46005","1995",Equipamiento,Equipament,Sanitario,Sanitari,No,Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"630.40",Accesibilidad baja,Accessibilitat baixa,"946.18",Accesibilidad baja,Accessibilitat baixa,"14523.94",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"5498.85",Accesibilidad baja,Accessibilitat baixa,"21599.37",Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia
"POINT (718315.034960935 4370579.83478021)","20",C.E.I.P. VILA D'ALAQUÀS,"ANTONIA MARIA DE OVIEDO, 2","46005","1980",Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"1419.25",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"21818.27",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"29047.88",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"52285.40",Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia
"POINT (719258.781813169 4370857.20093974)","21",C.E.I.P. GONZALEZ GALLARZA,"PICANYA, 1","46005","1960",Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,"1586.60",Accesibilidad alta,Accessibilitat alta,"26409.62",Accesibilidad baja,Accessibilitat baixa,"1892.36",Accesibilidad baja,Accessibilitat baixa,"43571.82",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"5498.85",Accesibilidad baja,Accessibilitat baixa,"78959.25",Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia
"POINT (719254.414808267 4370369.17041055)","22",C.E.I.P. BONAVISTA,"PD ALQUERIA ALOS,1","46005","1980",Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad media,Accessibilitat mitjana,"10571.82",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"5498.85",Accesibilidad media,Accessibilitat mitjana,"16070.67",Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia
"POINT (718331.457549877 4370063.95582993)","23",C.E.I.P. SANCHIS ALMIÑANO,"LANJARON, 6","46005","1981",Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"5000.00",Accesibilidad baja,Accessibilitat baixa,"946.18",Accesibilidad baja,Accessibilitat baixa,"18047.88",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"23994.06",Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia
"POINT (718038.594902604 4370182.02203198)","24","CENTRE DE FORMACIÓ ""FRANCESC FERRER MARTÍ""","CID, 40","46005","1997",Equipamiento,Equipament,"Educativo, Social","Educatiu, Social",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"253.84",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"946.18",Accesibilidad media,Accessibilitat mitjana,"3523.94",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"661.85",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"5385.81",Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia
"POINT (719400.105042257 4370488.7147528)","25",ESCOLA MUNICIPAL INFANTIL L'ALQUERÍA,PD ALQUERIA ALOS 2 POLÍGONO 5 PARCELA 67,"46005","1950",Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"452.70",Accesibilidad baja,Accessibilitat baixa,"946.18",Accesibilidad baja,Accessibilitat baixa,"14523.94",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"2418.50",Accesibilidad baja,Accessibilitat baixa,"18341.32",Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia
"POINT (718448.4389144 4370530.60345307)","26",COMPLEJO SOCIOCULTURAL EL OLIVAR,"AV. PAÍS VALENCIÀ, 2C","46005","2011",Equipamiento,Equipament,"Educativo, Cultural, Social","Educatiu, Cultural, Social",No,Accesibilidad baja,Accessibilitat baixa,"14055.00",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"34659.62",Accesibilidad media,Accessibilitat mitjana,"946.18",Accesibilidad media,Accessibilitat mitjana,"7047.88",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"3178.37",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"59887.05",Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia
"POINT (715276.684433199 4302134.63137983)","27",AJUNTAMENT,PLAÇA MAJOR 7,"46006","1989",Equipamiento,Equipament,"Institucional, Social","Institucional, Social",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"283.84",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"51742.16",Accesibilidad baja,Accessibilitat baixa,"946.18",Accesibilidad baja,Accessibilitat baixa,"21785.91",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"661.85",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"75419.94",Albaida,Albaida,Albaida,Albaida,Albaida,Albaida,la Vall d'Albaida,València/Valencia
"POINT (715757.58395869 4301593.44503099)","28",ESCOLETA DE LA VILA,"12 D´OCTUBRE, 3","46006","1960",Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,"1474.65",Accesibilidad baja,Accessibilitat baixa,"2076.51",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"946.18",Accesibilidad baja,Accessibilitat baixa,"36309.85",Accesibilidad alta,Accessibilitat alta,"0.00",Accesibilidad baja,Accessibilitat baixa,"40807.19",Albaida,Albaida,Albaida,Albaida,Albaida,Albaida,la Vall d'Albaida,València/Valencia
"POINT (715687.746831178 4301622.40147745)","29",CONSERVATORI,ARQUEÒLEG BALLESTER 45,"46006","1960",Equipamiento,Equipament,"Educativo, Cultural","Educatiu, Cultural",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"454.98",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"60395.92",Accesibilidad baja,Accessibilitat baixa,"976.18",Accesibilidad baja,Accessibilitat baixa,"36309.85",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"2418.50",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"100555.43",Albaida,Albaida,Albaida,Albaida,Albaida,Albaida,la Vall d'Albaida,València/Valencia
"POINT (715337.095642582 4301966.5354714)","30",CINE ODEON,POSIT 5,"46006","1975",Equipamiento,Equipament,"Cultural, Recreativo","Cultural, Recreatiu",No,Accesibilidad baja,Accessibilitat baixa,"4246.50",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"24083.01",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"946.18",Accesibilidad baja,Accessibilitat baixa,"14523.94",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"2809.25",Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,"46608.88",Albaida,Albaida,Albaida,Albaida,Albaida,Albaida,la Vall d'Albaida,València/Valencia
