id,nombre,accesibilidat_total,e4_servicios_higienicos,lat,lon
206189971,Sergio Cardell,Accesibilidad alta,Accesibilidad baja,38.3647338,-0.4323103
211369655,,Accesibilidad alta,Accesibilidad baja,38.3672123,-0.4285691
211514336,,Accesibilidad alta,Accesibilidad baja,38.3651613,-0.4313659
219237024,Mirador del castillo,Accesibilidad alta,Accesibilidad baja,38.3481957,-0.4795226
245422340,Valencia Once,Accesibilidad alta,Accesibilidad alta,38.3525297,-0.4838708
246255153,Mercadona,Accesibilidad alta,Accesibilidad baja,38.3617135,-0.4802513
246363205,,Accesibilidad alta,Accesibilidad baja,38.3624904,-0.47971
256979098,Torre Mauro,Accesibilidad alta,Accesibilidad baja,38.3660534,-0.4308318
257923135,,Accesibilidad alta,Accesibilidad baja,38.3747376,-0.4831352
257923302,,Accesibilidad alta,Accesibilidad baja,38.3757845,-0.481119
259592166,Correos,Accesibilidad alta,Accesibilidad baja,38.3656993,-0.4311114
274575039,Primark,Accesibilidad alta,Accesibilidad baja,38.3672564,-0.4696366
280587275,Nacara,Accesibilidad alta,Accesibilidad baja,38.3665208,-0.4290554
300088166,Restaurante Tailandes Sabatika,Accesibilidad alta,Accesibilidad baja,38.3663084,-0.4304591
319276779,Restaurante Darsena,Accesibilidad alta,Accesibilidad baja,38.338395,-0.4869017
353155198,Hospital,Accesibilidad alta,Accesibilidad baja,38.3643274,-0.4838579
378740180,Juan Garcia Ortiz,Accesibilidad alta,Accesibilidad baja,38.3588079,-0.4727597
390011926,,Accesibilidad alta,Accesibilidad baja,38.2794258,-0.5201362
390011927,,Accesibilidad alta,Accesibilidad baja,38.2818746,-0.5203901
390011928,,Accesibilidad alta,Accesibilidad baja,38.2839735,-0.5204514
430699380,Centro de Salud Ciudad Jardin,Accesibilidad alta,Accesibilidad alta,38.3754255,-0.4949514
478532315,Holanda,Accesibilidad alta,Accesibilidad baja,38.3681319,-0.4198137
548341321,Canela,Accesibilidad alta,Accesibilidad baja,38.3662597,-0.4304644
663884681,BBVA,Accesibilidad alta,Accesibilidad baja,38.3639818,-0.4314956
674102491,La Masa de Tomasa,Accesibilidad alta,Accesibilidad baja,38.3478149,-0.4845617
940123398,Mercado,Accesibilidad alta,Accesibilidad baja,38.3483516,-0.4847737
940123839,MARQ-Castillo,Accesibilidad alta,Accesibilidad baja,38.3519992,-0.4764427
1002062211,Eleuterio Maisonnave,Accesibilidad alta,Accesibilidad baja,38.3435353,-0.4889015
1242093861,NH,Accesibilidad alta,Accesibilidad baja,38.3364538,-0.50713
1317197203,La Lonja,Accesibilidad alta,Accesibilidad baja,38.349374,-0.4867714
1375040823,,Accesibilidad alta,Accesibilidad baja,38.3490457,-0.4807116
1507145793,Mercado-El Sabio,Accesibilidad alta,Accesibilidad baja,38.3472844,-0.4869425
1511245271,Rambla-Portal de Elche,Accesibilidad alta,Accesibilidad baja,38.3446147,-0.4834853
1511245277,Rambla-San Jose,Accesibilidad alta,Accesibilidad baja,38.3451765,-0.4836064
1511317466,C.A. Montemar,Accesibilidad alta,Accesibilidad baja,38.3571008,-0.4764069
1511317487,Avenida de Denia - Canonigo Penalva,Accesibilidad alta,Accesibilidad baja,38.3526538,-0.4728363
1511494323,Gaston Castello (TRAM),Accesibilidad alta,Accesibilidad baja,38.3733039,-0.4870928
1511494363,Calderon-La Lonja,Accesibilidad alta,Accesibilidad baja,38.3499284,-0.4857024
1512690889,Mercado-El Sabio,Accesibilidad alta,Accesibilidad baja,38.3473981,-0.486665
1513068015,Explanada De Espa?a,Accesibilidad alta,Accesibilidad baja,38.3436603,-0.4827888
1513972179,Padre Espla-Vidal,Accesibilidad alta,Accesibilidad baja,38.3562851,-0.4782265
1513972227,Palmeretes,Accesibilidad alta,Accesibilidad baja,38.3553339,-0.4824524
1513972250,Pio XII,Accesibilidad alta,Accesibilidad baja,38.355832,-0.4799831
1513972251,Pio XII,Accesibilidad alta,Accesibilidad baja,38.3553998,-0.479968
1513972258,Misericordia,Accesibilidad alta,Accesibilidad baja,38.3520973,-0.4835943
1513972261,Misericordia,Accesibilidad alta,Accesibilidad baja,38.3520536,-0.4837578
1515221018,Rambla-San Jose,Accesibilidad alta,Accesibilidad baja,38.3453614,-0.4837026
1516282579,Castello-Esmeralda,Accesibilidad alta,Accesibilidad baja,38.3747007,-0.4871262
1516282584,C.P. Lucentum,Accesibilidad alta,Accesibilidad baja,38.3748133,-0.4932411
1516287318,Alacant-Estels,Accesibilidad alta,Accesibilidad baja,38.3459294,-0.4908702
1523080679,La Olivera,Accesibilidad alta,Accesibilidad baja,38.3579082,-0.4747783
