id,nombre,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidad_total,lat,lon,direccion,barrio,ciudad,codigo_postal,tipo_lugar
1,+copy,0.0,0.0,0.0,0.0,0.0,4.0,38.3594783,-0.4911098,carrer d'aureliano ibarra / calle aureliano ibarra,altossano,alacant / alicante,3010.0,copyshop
2,3a edad,1.0,0.0,1.0,0.0,0.0,1.0,38.08449800000003,-0.7467669999999972,calle federico garcia lorca,desconocido,desconocido,03179,social_facility
3,agencia de lectura,0.0,0.0,0.0,0.0,0.0,0.0,38.70115400000003,-0.7611310000000006,carrer dionisio mateos,desconocido,desconocido,desconocido,residential
4,aires burger bar,0.0,0.0,0.0,0.0,0.0,3.0,38.347669,-0.4850115,carrer del pintor sorolla / calle pintor sorolla,nostra senyora de gracia,alacant / alicante,3001.0,fast_food
5,ajuntament,0.0,0.0,0.0,0.0,0.0,0.0,38.77995020000001,-0.515635300000003,carrer major,desconocido,desconocido,03837,service
6,ajuntament d'altea,0.0,0.0,0.0,0.0,0.0,0.0,38.6024481,-0.0473178999999979,carrer gabriel miro,desconocido,altea,03590,jewelry
7,ajuntament salo d'actes,0.0,0.0,0.0,1.0,0.0,1.0,38.73923159999998,-0.0122051999999993,carrer esglesia,urbanitzacio solana park,desconocido,03727,police
8,akraclima instalaciones aire acondicionado,0.0,0.0,0.0,0.0,0.0,4.0,38.349046,-0.4745403,carrer de la mare de deu del socors / calle virgen del socorro,sangueta,alacant / alicante,3002.0,appliance
9,alacant terminal,0.0,0.0,0.0,0.0,0.0,4.0,38.3449804,-0.496061,carrer de bono guarner / calle bono guarner,nostra senyora de gracia,alacant / alicante,3003.0,station
10,alacant-estels,0.0,0.0,0.0,0.0,0.0,4.0,38.3459294,-0.4908702,placa dels estels / plaza de los luceros,nostra senyora de gracia,alacant / alicante,3003.0,subway_entrance
11,alcampo,0.0,0.0,0.0,0.0,0.0,4.0,38.3547252,-0.4713733,avinguda de denia / avenida de denia,vistahermosa,alacant / alicante,3016.0,supermarket
12,alohers coffee surf,0.0,0.0,0.0,0.0,0.0,4.0,38.3629488,-0.4115241,carrer de sicilia / calle sicilia,desconocido,alacant / alicante,3540.0,fast_food
13,always,0.0,0.0,0.0,0.0,0.0,4.0,38.3405526,-0.490716,carrer d'italia / calle italia,raval de sant francesc,alacant / alicante,3003.0,supermarket
14,antiguo consultorio,1.0,0.0,1.0,0.0,0.0,1.0,38.56753099999999,-0.2115129999999994,carrer nou,desconocido,desconocido,desconocido,house
15,antiguo cuartel de carabineros (centro de educacion am,1.0,0.0,0.0,0.0,0.0,1.0,38.57009659999999,-0.0643389000000025,cami vell del far,l'albir,desconocido,03581,yes
16,aromas artesanales,0.0,0.0,0.0,0.0,0.0,4.0,38.3545628,-0.4717984,avinguda de denia / avenida de denia,vistahermosa,alacant / alicante,3016.0,perfumery
17,asador pollos la ceramica,0.0,0.0,0.0,0.0,0.0,2.0,38.3624918,-0.4896287,carrer de martin luther king / calle martin luther king,altossano,alacant / alicante,3010.0,fast_food
18,ascensor al castillo de santa barbara,0.0,0.0,0.0,0.0,0.0,4.0,38.3467887,-0.4769547,tunel de acceso ascensor al castillo de santa barbara,sant antoni,alacant / alicante,3002.0,footway
19,asociacion de mujeres,0.0,0.0,1.0,1.0,0.0,1.0,38.06139399999998,-0.8665830000000045,calle marques de fontalba,desconocido,desconocido,03310,house
20,ateneo musical,1.0,0.0,1.0,0.0,0.0,1.0,38.34805399999996,-0.7662110000000056,calle doctor fleming,desconocido,aspe,03680,restaurant
21,auditori centro social,0.0,0.0,0.0,0.0,1.0,0.0,38.50991499999997,-0.2309349999999968,carrer dels germans aragones,desconocido,la vila joiosa / villajoyosa,03570,residential
22,auditori municipal,0.0,1.0,0.0,0.0,1.0,1.0,38.8254555,0.0200077000000034,carrer de sant jaume,desconocido,desconocido,03760,house
23,auditorio la concha,0.0,0.0,0.0,0.0,0.0,4.0,38.3428843,-0.4837883,passeig de l'esplanada d'espanya / paseo de la explanada de espana,raval de sant francesc,alacant / alicante,3001.0,bandstand
24,auditorio y escuela de musica,1.0,0.0,1.0,0.0,1.0,1.0,38.84250929999999,-0.3106441999999954,carrer de la vall de gallinera,desconocido,desconocido,03860,theatre
25,aulari de musica,1.0,0.0,1.0,0.0,0.0,1.0,38.82525,0.0171669999999942,carrer josep iturbi,desconocido,desconocido,03760,music_school
26,aulas municipales de uso polivalente,1.0,1.0,1.0,0.0,0.0,1.0,38.386852000000026,-0.7672080000000008,calle menendez pelayo,desconocido,novelda,03660,residential
27,av. naciones,0.0,0.0,0.0,0.0,0.0,4.0,38.3623141,-0.4203368,avinguda goleta / avenida de la goleta,entreplatges,alacant / alicante,3540.0,tram_stop
28,avenida de denia - canonigo penalva,0.0,0.0,0.0,0.0,0.0,4.0,38.3526538,-0.4728363,carrer del bisbe victorio oliver / calle obispo victorio oliver,vistahermosa,alacant / alicante,3013.0,bus_stop
29,avinguda de la baronia de polop / avenida baronia de polop,0.0,0.0,0.0,0.0,0.0,4.0,38.3760441,-0.4946521,avinguda de la baronia de polop / avenida baronia de polop,el clot,alacant / alicante,3011.0,footway
30,avinguda de novelda / avenida de novelda,0.0,0.0,0.0,0.0,0.0,4.0,38.3696064,-0.4971488,avinguda de novelda / avenida de novelda,la tombola,alacant / alicante,3011.0,secondary
31,avinguda del pintor gaston castello / avenida del pintor gaston castello,0.0,0.0,0.0,0.0,0.0,4.0,38.3754301,-0.4872937,avinguda del pintor gaston castello / avenida del pintor gaston castello,colonia requena,alacant / alicante,3112.0,footway
32,avinguda dels exercits espanyols / avenida de los ejercitos espanyoles,0.0,0.0,0.0,0.0,0.0,3.0,38.3696196,-0.4826573,avinguda dels exercits espanyols / avenida de los ejercitos espanoles,quatre-centes vivendes,alacant / alicante,3112.0,house
33,avinguda ronda de melilla / avenida ronda de melilla,0.0,0.0,0.0,0.0,0.0,4.0,38.3736418,-0.4829173,avinguda ronda de melilla / avenida ronda de melilla,joan xxiii,alacant / alicante,3014.0,footway
34,ayuntamiento,0.0,0.0,0.0,0.0,0.0,0.0,38.43923400000004,-0.6385810000000013,placa d'espanya,desconocido,desconocido,03698,townhall
35,bar lucy,0.0,0.0,0.0,0.0,0.0,4.0,38.3480984,-0.5104992,carrer d'aldebaran / calle aldebaran,la florida alta,alacant / alicante,3007.0,bar
36,barbera aragones,0.0,1.0,0.0,0.0,1.0,1.0,38.51036699999998,-0.2302499999999969,carrer del huit de maig,desconocido,la vila joiosa / villajoyosa,03570,museum
37,bazar la rambla,0.0,0.0,0.0,0.0,0.0,3.0,38.3476243,-0.4843798,carrer del general primo de rivera / calle general primo de rivera,nostra senyora de gracia,alacant / alicante,3001.0,convenience
38,bbva,0.0,0.0,0.0,0.0,0.0,4.0,38.3639818,-0.4314956,carrer de pedro ferrandiz / calle pedro ferrandiz,albufereta,alacant / alicante,3540.0,bank
