WKT                                      , nombre                                                    , e1_entrada_ppal                                 , e2_itinerarios_accesibles                       , e3_zonas_atencion_publico                       , e4_servicios_higienicos                         , e5_elementos_accesibles                         , accesibilidad_total
POINT (692437.490001877 4225961.09887768), conservatorio                                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (693915.466375637 4220103.93745854), servicios sociales                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (692330.412689945 4226003.19878469), catral joven                                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (693318.56133976 4217631.05473344) , centro cultural san vicente ferrer                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (706096.974578604 4257191.96380114), ayuntamiento                                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (706051.333194896 4257009.77434945), centro social                                             , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (706346.689201751 4257083.31647807), ceip la rambla                                            , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (706160.665044443 4256847.3274802) , casa de cultura                                           , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (705943.763210481 4257430.91429246), museo de alfareria                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (715804.959917088 4295289.31535352), ajuntament                                                , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (715710.447205881 4295351.36889658), centre social                                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad alta                              , accesibilidad baja
POINT (715717.702956933 4295347.66738476), casa jove                                                 , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad alta                              , accesibilidad baja
POINT (693264.706016751 4217737.03702939), casa consistorial                                         , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (693350.680591951 4217690.22240644), consultorio medico                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (693301.502300062 4217780.32634792), centro social                                             , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
