nombre,accesibilidad_total,e4_servicios_higienicos,lat,lon,direccion,barrio,ciudad,codigo_postal,tipo_lugar
sergio cardell,4,0,38.3647338,-0.4323103,glorieta de l'esportista sergio cardell / glorieta del deportista sergio cardell,albufereta,alacant / alicante,03540,tram_stop
mirador del castillo,4,0,38.3481957,-0.4795226,tunel de acceso ascensor al castillo de santa barbara,sant antoni,alacant / alicante,03002,viewpoint
valencia once,4,4,38.3525297,-0.4838708,carrer de valencia / calle valencia,sant antoni,alacant / alicante,03004,restaurant
mercadona,4,0,38.3617135,-0.4802513,carrer de rodrigo caro / calle rodrigo caro,les carolines altes,alacant / alicante,03012,supermarket
torre mauro,4,0,38.3660534,-0.4308318,avinguda d'ansaldo / avenida de ansaldo,albufereta,alacant / alicante,03540,restaurant
correos,4,0,38.3656993,-0.4311114,avinguda d'ansaldo / avenida de ansaldo,albufereta,alacant / alicante,03540,post_office
primark,4,0,38.3672564,-0.4696366,carrer de jose garcia selles / calle jose garcia selles,el garbinet,alacant / alicante,03015,clothes
nacara,4,0,38.3665208,-0.4290554,avinguda de l'historiador vicente ramos / avenida del historiador vicente ramos,albufereta,alacant / alicante,03540,cafe
restaurante tailandes sabatika,4,0,38.3663084,-0.4304591,avinguda de l'historiador vicente ramos / avenida del historiador vicente ramos,albufereta,alacant / alicante,03540,restaurant
restaurante darsena,4,0,38.338395,-0.4869017,avinguda de perfecto palacio de la fuente / avenida perfecto palacio de la fuente,raval de sant francesc,alacant / alicante,03003,restaurant
hospital,4,0,38.3643274,-0.4838579,avinguda del periodista rodolfo salazar / avenida del periodista rodolfo salazar,sidi ifni - nou alacant,alacant / alicante,03014,tram_stop
juan garcia ortiz,4,0,38.3588079,-0.4727597,avinguda padre espla / avenida padre espla,el pla del bon repos,alacant / alicante,03015,pharmacy
centro de salud ciudad jardin,4,4,38.3754255,-0.4949514,carrer del clot / calle clot,el clot,alacant / alicante,03011,clinic
holanda,4,0,38.3681319,-0.4198137,glorieta del fotoperiodista perfecto arjones,desconocido,alacant / alicante,03540,tram_stop
canela,4,0,38.3662597,-0.4304644,avinguda de l'historiador vicente ramos / avenida del historiador vicente ramos,albufereta,alacant / alicante,03540,cafe
bbva,4,0,38.3639818,-0.4314956,carrer de pedro ferrandiz / calle pedro ferrandiz,albufereta,alacant / alicante,03540,bank
la masa de tomasa,4,2,38.3478149,-0.4845617,avinguda alfons el savi / avenida alfonso el sabio,nostra senyora de gracia,alacant / alicante,03202,bakery
mercado,4,2,38.3483516,-0.4847737,carrer de sant vicent / calle san vicente,sant antoni,alacant / alicante,03004,subway_entrance
marq-castillo,4,0,38.3519992,-0.4764427,avinguda de vazquez de mella / avenida vazquez de mella,sant antoni,alacant / alicante,03013,subway_entrance
eleuterio maisonnave,4,0,38.3435353,-0.4889015,placa de calvo sotelo / plaza de calvo sotelo,nostra senyora de gracia,alacant / alicante,03003,artwork
nh,4,0,38.3364538,-0.50713,carrer del club de futbol hercules / calle club de futbol hercules,la florida baixa,alacant / alicante,03007,hotel
la lonja,4,0,38.349374,-0.4867714,carrer capitan segarra / calle capitan segarra,nostra senyora de gracia,alacant / alicante,03004,restaurant
mercado-el sabio,4,0,38.3472844,-0.4869425,avinguda alfons el savi / avenida alfonso el sabio,nostra senyora de gracia,alacant / alicante,03001,bus_stop
rambla-portal de elche,4,0,38.3446147,-0.4834853,la rambla / la rambla,raval de sant francesc,alacant / alicante,03001,bus_stop
rambla-san jose,4,0,38.3451765,-0.4836064,la rambla / la rambla,raval de sant francesc,alacant / alicante,03001,bus_stop
c.a. montemar,4,0,38.3571008,-0.4764069,avinguda padre espla / avenida padre espla,el pla del bon repos,alacant / alicante,03013,bus_stop
avenida de denia - canonigo penalva,4,0,38.3526538,-0.4728363,carrer del bisbe victorio oliver / calle obispo victorio oliver,vistahermosa,alacant / alicante,03013,bus_stop
gaston castello (tram),4,0,38.3733039,-0.4870928,carrer del canonge giner / calle canonigo giner,verge del remei,alacant / alicante,03112,bus_stop
calderon-la lonja,4,0,38.3499284,-0.4857024,carrer de calderon de la barca / calle calderon de la barca,raval de sant antoni,alacant / alicante,03004,bus_stop
explanada de espanya,4,0,38.3436603,-0.4827888,la rambla / la rambla,raval de sant francesc,alacant / alicante,03001,bus_stop
padre espla-vidal,4,0,38.3562851,-0.4782265,avinguda padre espla / avenida padre espla,les carolines baixes,alacant / alicante,03013,bus_stop
palmeretes,4,0,38.3553339,-0.4824524,carrer del poeta zorrilla / calle poeta zorrilla,les carolines baixes,alacant / alicante,03012,bus_stop
pio xii,4,0,38.355832,-0.4799831,carrer de sant mateu / calle san mateo,les carolines baixes,alacant / alicante,03013,bus_stop
misericordia,4,0,38.3520973,-0.4835943,placa de l'hospital vell de san anton / plaza del hospital viejo san anton,sant antoni,alacant / alicante,03004,bus_stop
castello-esmeralda,4,0,38.3747007,-0.4871262,avinguda del pintor gaston castello / avenida del pintor gaston castello,colonia requena,alacant / alicante,03112,bus_stop
c.p. lucentum,4,0,38.3748133,-0.4932411,carrer de l'economista german bernacer / calle economista german bernacer,ciutat jardi,alacant / alicante,03112,tertiary
alacant-estels,4,0,38.3459294,-0.4908702,placa dels estels / plaza de los luceros,nostra senyora de gracia,alacant / alicante,03003,subway_entrance
la olivera,4,0,38.3579082,-0.4747783,avinguda padre espla / avenida padre espla,el pla del bon repos,alacant / alicante,03013,bus_stop
bulevar del pla (tram),4,0,38.3587963,-0.4724778,avinguda padre espla / avenida padre espla,el pla del bon repos,alacant / alicante,03015,bus_stop
av. naciones,4,0,38.3623141,-0.4203368,avinguda goleta / avenida de la goleta,entreplatges,alacant / alicante,03540,tram_stop
v. reyes,4,0,38.3648024,-0.4720701,carrer del metge vicente reyes / calle medico vicente reyes,el garbinet,alacant / alicante,03015,bus_stop
c.c. gran via,4,0,38.3656229,-0.4712372,placa de l'alcalde agatangelo soler / plaza alcalde agatangelo soler,el garbinet,alacant / alicante,03015,bus_stop
cafeteria mare nostrum,4,0,38.3444062,-0.4956106,carrer de rigoberto ferrer / calle rigoberto ferrer,alipark,alacant / alicante,03003,cafe
tim hortons,4,0,38.3444617,-0.4958563,carrer de rigoberto ferrer / calle rigoberto ferrer,alipark,alacant / alicante,03003,cafe
garbinet,4,0,38.3624308,-0.4783146,avinguda del periodista rodolfo salazar / avenida del periodista rodolfo salazar,les carolines altes,alacant / alicante,03015,tram_stop
gloria ferez,4,0,38.3651713,-0.4970922,carrer diagonal / calle diagonal,la tombola,alacant / alicante,03009,hairdresser
soda bar,4,0,38.3465326,-0.4862873,carrer del metge pascual perez / calle medico pascual perez,nostra senyora de gracia,alacant / alicante,03001,bar
casino sportium,4,0,38.3623034,-0.4874003,avinguda del pintor baeza / avenida pintor baeza,altossano,alacant / alicante,03014,casino
europa,4,0,38.3367437,-0.5070558,carrer del club de futbol hercules / calle club de futbol hercules,la florida baixa,alacant / alicante,03007,parking
hostal les monges palace,4,0,38.3458972,-0.4815316,carrer de les monges / calle de las monjas,centre historic,alacant / alicante,03002,hostel
fixphone,4,0,38.3677022,-0.4262222,avinguda de l'historiador vicente ramos / avenida del historiador vicente ramos,albufereta,alacant / alicante,03540,mobile_phone
bulevar del pla,4,0,38.359949,-0.4720944,avinguda del periodista rodolfo salazar / avenida del periodista rodolfo salazar,barri obrer,alacant / alicante,03015,tram_stop
pintor gaston castello,4,0,38.3739213,-0.4871507,avinguda del pintor gaston castello / avenida del pintor gaston castello,colonia requena,alacant / alicante,03112,tram_stop
la isleta,4,0,38.3628861,-0.4470381,avinguda de la condomina / avenida de la condomina,albufereta,alacant / alicante,03016,tram_stop
bar lucy,4,0,38.3480984,-0.5104992,carrer d'aldebaran / calle aldebaran,la florida alta,alacant / alicante,03007,bar
cafeteria jijona babel,4,0,38.341069,-0.5064049,carrer de pardo jimeno / calle pardo jimeno,la florida baixa,alacant / alicante,03007,cafe
optica nueva vision,4,0,38.3511071,-0.4854794,carrer del pare mariana / calle padre mariana,raval de sant antoni,alacant / alicante,03004,optician
supercor,4,0,38.3479677,-0.4845536,avinguda alfons el savi / avenida alfonso el sabio,nostra senyora de gracia,alacant / alicante,03004,supermarket
ascensor al castillo de santa barbara,4,0,38.3467887,-0.4769547,tunel de acceso ascensor al castillo de santa barbara,sant antoni,alacant / alicante,03002,footway
telepizza,4,0,38.3445308,-0.5094853,avinguda d'oriola / avenida de orihuela,la florida baixa,alacant / alicante,03007,fast_food
