nombre                                                    , e1_entrada_ppal                                 , e2_itinerarios_accesibles                       , e3_zonas_atencion_publico                       , e4_servicios_higienicos                         , e5_elementos_accesibles                         , accesibilidad_total                             , lat               , lon
conservatorio                                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.16102499999997 , -0.8034790000000008
servicios sociales                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.10795900000002 , -0.7882140000000043
catral joven                                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.16142699999998 , -0.804689000000004
centro cultural san vicente ferrer                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.08581600000001 , -0.7956870000000005
ayuntamiento                                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.439234000000035, -0.638581000000001
centro social                                             , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.43760400000002 , -0.6391569999999983
ceip la rambla                                            , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.438198000000014, -0.635753999999999
casa de cultura                                           , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.436116000000005, -0.637952999999995
museo de alfareria                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.44142100000002 , -0.6402649999999994
ajuntament                                                , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.7799502        , -0.5156353000000035
centre social                                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad alta                              , accesibilidad baja                              , 38.78053200000002 , -0.5167029999999955
casa jove                                                 , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad alta                              , accesibilidad baja                              , 38.78049689999996 , -0.5166206999999997
casa consistorial                                         , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.08678199999999 , -0.7962720000000036
consultorio medico                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.086342000000045, -0.7953050000000019
centro social                                             , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.08716399999997 , -0.7958409999999951
escuela infantil municipal                                , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.086554000000035, -0.7976940000000002
centro salud y estacion potabilizadora                    , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad alta                              , accesibilidad baja                              , 38.338967000000004, -1.0052520000000011
edificio muca                                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , 38.34002100000001 , -1.0079070000000032
ayuntamiento                                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.10994199999999 , -0.7919209999999982
centro atencion temprana                                  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.109361999999976, -0.7950249999999993
teatro cortes                                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad media                             , accesibilidad baja                              , 38.11081200000001 , -0.7894020000000052
ajuntament d'altea                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.6024481        , -0.04731789999999798
c.e.a.m                                                   , accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.603035200000036, -0.047953000000003916
