id,nombre,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidad_total,lon,lat
707,conservatorio                                         ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.8034790000000008,38.16102499999997
617,servicios sociales                                    ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7882140000000043,38.10795900000002
708,catral joven                                          ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.804689000000004,38.16142699999998
604,centro cultural san vicente ferrer                    ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7956870000000005,38.08581600000001
591,ayuntamiento                                          ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.638581000000001,38.439234000000035
592,centro social                                         ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.6391569999999983,38.43760400000002
593,ceip la rambla                                        ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.635753999999999,38.438198000000014
594,casa de cultura                                       ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.637952999999995,38.436116000000005
595,museo de alfareria                                    ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.6402649999999994,38.44142100000002
596,ajuntament                                            ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.5156353000000035,38.7799502
597,centre social                                         ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad alta                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.5167029999999955,38.78053200000002
599,casa jove                                             ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad alta                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.5166206999999997,38.78049689999996
600,casa consistorial                                     ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7962720000000036,38.08678199999999
601,consultorio medico                                    ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7953050000000019,38.086342000000045
602,centro social                                         ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7958409999999951,38.08716399999997
